filename,title,year
edc8eebcf80173ee2927f5a2ec066d7e,(順治)龍泉縣志10卷,1655
76a227a23311b84e40961c7eef311403,(乾隆)上杭縣志,1644
d12bf57f0662681a92c37b5e375fe6a1,沈丘縣志 14卷,1652
4ada42198cef8bd106c931405bc58bf3,碭山縣志 2卷,1635.5
bda975a45f31de3a03c6999155f3ef6d,洪洞縣續志 不分卷,1652
f4f521d2044b967b606d41dcbc9eac46,(乾隆)屏南縣志,1644
c45c027162f23ce4cd0a220abbe3bf87,(康熙)信豐縣志12卷,1664
69ca0222d32b94732787fe35ec4ad8a6,(順治)扶風縣志4卷,1661
32aa2fadebb3b26f95755dd85a615199,江陰縣志 8卷,1635.5
4aeae6b0d170575f9a424594bbafb9fe,元氏縣續志 不分卷,1652
9d7b83d193103d95197e7ce8bf16d84a,嘉興縣志 24卷,1635.5
2c875aa4f966d0cd77da49233fb1e1eb,(康熙)鄜州志8卷,1666
d8043c0d2af8798ba5b7d473acbf256d,柳邊紀略 5卷,1691.5
91b9549226fa3030efef38a48962d54d,(康熙)大田縣志10卷,1693
2ce2b7d0fecb1187387b4016bd2facdb,雷州府志 10卷,1691.5
2530c98a972f23aa4a5e7620a0cb210e,泗州直隸州志 18卷,1691.5
bce945bb0308005f06d560c39dc0057c,(康熙)休寧縣志8卷,1693
0cce61aeb7bca6cd4346c529d3925fe2,漳平縣志 9卷,1691.5
6d871332eb1ae7392ffa1d6c8516ccb0,(康熙)廣寧縣志,1682
d4a98a80850d57f9188a21829d6caf6c,(康熙)壽寧縣志,1686
7c4bf8b25466a355d48935d699a5b5ea,雲南府志 26卷,1691.5
411ac2c4ceeeba932196159ec1b2b7ba,(康熙)恩平縣志11卷,1688
f55f6ec9ac2f9553da212918fe958732,(康熙)諸羅縣志,1717
69a2ad862b77d3b8d4cf026d7e7af2b8,河南通志 50卷,1691.5
cf2b34c21f1824d5611400dbcbc20186,潛江縣志 20卷,1691.5
1a9869177b1c1486d4d42706e2078563,彬州總志 12卷,1691.5
441c22069566afd60d1eb845c71dd98e,(康熙)蓋平縣志,1682
9972a9dc7bb73884d9caae819e267643,南和縣志 8卷,1691.5
bb10da48b287bbb32cb9b413c92014b1,(康熙)陜西通志32卷,1711
c812afefb1cbbc83805de1835dae3826,龍陽縣志 4卷,1691.5
2cd5297d881364fdf82f796d62ff0ce9,(康熙)僊遊縣志40卷,1680
1b29819f1376ffb72184f3db3cd40640,滁州志 30卷,1691.5
02d76c226f45431d8209d0be71c9867e,江寧縣志 14卷,1691.5
b27f8dc49e2e561aad0c50efa6b7fe8f,豐潤縣志 8卷,1691.5
c012df3c8cbaee29ae14b62b206985ba,(康熙)瓊山縣志,1708
0038f320d243ad7bc28f84076481995d,汾陽縣志 8卷,1691.5
ddb48f7388c973be6385fe12f367e4f9,辰州府志 50卷,1765.5
828f76e7259ecca82120d28007b96643,趙城縣志 24卷,1765.5
62af64a89a93a7105cabb5b83d6863d8,滑縣志存 13卷,1765.5
f56487bf3038b40ec8352210501461fc,(乾隆)和平縣志8卷,1763
cbf1e78c0b7f6fca47a62f40a01cff6b,信陽州志 12卷,1765.5
12339e11f7506210d8533a8aca2a6af1,(乾隆)馬坪縣志,1764
deaf2dbcfe03a33f1e341c0228209dd6,(乾隆)晋江縣志,1765
a05f55f8c17df87116a597104bf6684d,建平縣志 22卷,1728.5
fbf10e1bf3ca7b659bd431d35ec5f46f,(乾隆)襄城縣志,1746
08f06e55f4df718d0ed5fed3f7df422d,(乾隆)重修桃源縣志10卷,1738
543c7b14501587d110ffc1b31b480c69,(乾隆)扶溝縣志12卷,1762
6b46be82c843149d9449627555da424f,(乾隆)膠州志8卷,1752
3bc0986cffad92ad976787057189d7a1,嘉禾縣志 26卷,1765.5
ebe5f2dbdbd1b03b8ab5f9aa5d439669,六安州志 20卷,1728.5
c17109f692e7e263d44210ebd6565db6,(乾隆)古浪縣志1卷,1749
1e5a99dbc5d32833c216225ae90ef690,樂至縣志 8卷,1765.5
3ba1a31bfd6b87749913400240774bf6,重修嵐縣志 16卷,1728.5
3965c2e1156acf16a1648712fb41a9b8,(乾隆)西寧府新志40卷,1747
dca932489c9823cc6c09636fd05dddd6,(乾隆)萊州府志,1740
b2be6a8e3e1dccf01466d88e2d912c94,舞陽縣志 12卷圖1卷,1765.5
22745332f1f76679ad03f3801d47e119,新鄭縣志 31卷,1765.5
c43d0105c1f5bd74dccc0bb6149154cd,冕寧縣志清册 不分卷,1765.5
9b3936cedad49112f9f1c44b62c9f4dc,陳州府志 30卷,1765.5
17e9e9f1d1978218e03529e8c5b1a8e9,昭文縣志 10卷,1728.5
1b45ed95dc0ca179e371ceb35c9c5a9d,西域總志 4卷,1808
bb75b889b925ec6544d371597b1c2f0e,(嘉慶)金堂縣志9卷,1811
1eabee0c888b41a335643d65bf479365,(嘉慶)江都縣續志,1811
df2de2a6d575ebab3d20c1c6b11e6972,(乾隆)綏德州直隷州志,1784
ee4043ae21ea36a6df397aa44bf3cc2e,(嘉慶)棗强縣志20卷,1804
dfe71413c8a12682c8c995d36fadfcc8,(道光)長陽縣志7卷,1822
039de1fb509dd292c74819cae1b42ac5,續濟源縣志 12卷,1808
fea9215bfc784a7acbe5edee155bc6bc,(道光)豐城縣志24卷,1825
32bd3435dfb0dd3d1d0f6e983562347b,(嘉慶)寶豐縣志24卷,1797
85c5c7715bc127957999d9335d43e32a,(嘉慶)和平縣志8卷,1819
2f8c73626a8e6fb8e3c0216af2f7bfac,(乾隆)臨汾縣志,1779
3f497270b132676bf06c19629045ff6b,(乾隆)平定州志10卷,1790
959d10a2fed39f550cd00894a7fa2bfe,桂東縣志 20卷,1808
9bb0adc91fcfb5a50ecdccb254868d9e,(道光)鶴峰州志14卷,1822
ff7c7fb4cbdf0630d31e9ec119c91f7b,(乾隆)池州府志,1779
1ac8bd35f213a080d5320c2e7633b164,(嘉慶)茂名縣志21卷,1819
82a04d0d611c8d88d26015743e5e2272,(嘉慶)高邑縣志10卷,1811
