,count,century,dynasty,dynstart,dynend,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,poly,weight
0,4555.046395588746,0,汉代,-206,220,218.89581619676792,4032.8675085660707,73.90664604195506,225.67219943344963,2.0,0.2347417840375587,0.2347417840375587,0.0,1.2347417840375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4336.1505793935885,1.9158120785941992
900,11027.727031366696,900,唐,618,907,189.88505164791857,8926.424240416141,1133.2342664607643,725.2596008023088,34.610562070797066,7.024221453287197,3.763299664555109,0.0,5.250783699059561,0.0,2.2750051523467585,0.0,0.0,0.0,0.0,0.0,0.0,10837.84197971926,0.7913337787927072
1800,9272.672722272557,1800,清,1644,1911,135.32734021112532,6960.4288924999455,862.0106669395196,1253.6998515026007,28.46132015038367,8.50110170828895,10.540721978932417,3.0,10.702827279622673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9137.345382059295,0.941110849546641
-500,7748.088447309825,-500,战国燕,-1030,-223,825.3038754775356,6171.920231145654,157.3519463064328,560.017005194997,7.78248031496063,6.771653543307086,4.816929133858268,0.5905511811023622,12.113499421443287,0.0,1.295275590551181,0.0,0.0,0.0,0.125,0.0,0.0,6922.784571832306,1.1262923703788918
400,17888.29322411669,400,北魏,386,534,355.8813097810291,16053.720741396708,586.9690939186014,859.2059499892583,13.0,6.0,5.387096774193548,0.0,8.129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17532.411914336823,0.4878393256356521
1300,8717.166984047195,1300,元,1234,1367,164.26357096950548,5905.710115191482,1280.4418382968247,1233.1703949438145,46.01858939356869,24.414104314494658,24.0728395112815,2.0150375939849625,31.418236013809942,0.0,4.13097962297047,0.0,1.0075187969924813,0.0,0.5037593984962406,0.0,0.0,8552.90341307772,1.0010835996598415
-1000,1850.0006195786866,-1000,战国燕,-1030,-223,406.73373605947955,1314.552664188352,24.109820322180916,102.47939900867411,0.125,0.75,0.5,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,1443.266883519207,4.71708647601062
-100,12231.498490564647,-100,汉代,-206,220,790.6064479361644,10178.104639985037,484.0684957529378,738.0146815381693,11.0,3.234741784037559,6.234741784037559,1.0,16.23474178403756,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11440.892042628255,0.7134541127530353
800,13135.218987075616,800,唐,618,907,252.09760086138388,11350.692290781164,912.4441491570791,592.4519990969957,14.12008517403779,2.829061696918189,9.199183054968643,0.0,1.03859649122807,0.0,0.3460207612456747,0.0,0.0,0.0,0.0,0.0,0.0,12883.121386213636,0.6643675230548064
1700,9317.642645459226,1700,清,1644,1911,167.16896067559037,6715.080527104987,1132.9852012323806,1198.7591811825603,35.38303064543334,21.482352941176472,21.1781512605042,6.0,12.60524041493418,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,9150.473684781975,0.9365687476197252
-600,727.0006195786917,-600,战国燕,-1030,-223,88.98373605947958,564.052664188351,11.859820322180912,56.47939900867413,0.125,0.0,2.25,0.0,2.125,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,638.016883519206,12.00358385978144
300,4669.192541831188,300,晋,265,420,103.18139994552286,4157.541356089277,208.6718920336552,194.44305505348007,1.774193548387097,1.0,1.935483870967742,0.0,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.01114188609,1.8689768787738712
1200,11569.672648090174,1200,金,1115,1234,212.46759293115883,8278.127300954271,1615.8874115443523,1313.8774245932705,67.08299589774285,19.461847540086502,32.372725044103134,1.9849624060150375,18.33426230549987,0.0,7.48026021165767,0.0,1.099624060150376,0.0,1.4962406015037595,0.0,0.0,11357.205055158654,0.754266189602729
-1100,1830.0501858736059,-1100,商,-1600,-1046,405.4326208178439,1298.7657992565055,22.895446096654275,100.83131970260223,0.125,0.75,0.5,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,1424.617565055762,4.768510159222815
-200,5766.969618023623,-200,汉代,-206,220,441.81261363944213,4947.361894611782,105.56945914407451,259.18809194279345,3.0,4.234741784037559,1.2347417840375587,0.0,4.568075117370892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5325.157004384096,1.513205978396771
700,14063.942222940766,700,唐,618,907,258.7740419032998,12017.731760277156,1098.2826137482537,656.502705495254,21.869672863539197,2.86297982557316,6.611024557488108,0.0,0.9614035087719298,0.0,0.3460207612456747,0.0,0.0,0.0,0.0,0.0,0.0,13805.168181037283,0.6204955029601336
1600,11087.0211408264,1600,明,1368,1644,232.62118366491487,8721.587846146273,921.7905881431479,1186.763676515468,11.443451645766432,3.06429512516469,3.520685111989459,0.0,6.0699941833266005,0.0,0.15942028985507245,0.0,0.0,0.0,0.0,0.0,0.0,10854.399957160991,0.7871016743254292
-700,2331.867286245385,-700,战国燕,-1030,-223,213.51706939281274,2024.2526641883794,22.526486988847576,67.27939900867412,1.5916666666666666,0.0,0.25,0.0,2.3249999999999997,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,2118.3502168525674,3.742328285447536
200,10966.926068061332,200,东汉,25,220,307.1000144748674,9798.638633703711,242.97970616574122,584.9378363891209,13.225806451612904,4.046948356807512,3.724367711646221,0.0,12.272754808420416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10659.826053587061,0.7957209567264394
1100,10200.24459299288,1100,宋,960,1279,211.08212003797087,7949.198990474588,1161.536990178411,837.8821128320545,18.956384606789932,4.392150152107779,7.960282964162275,2.0,5.7157453560552645,0.0,0.6269592476489029,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,9989.162472954675,0.8555297692783456
-300,6988.831798799148,-300,战国燕,-1030,-223,748.2184315968694,5663.1613131698405,119.25810010608126,437.85284460475384,4.299212598425196,2.0907525551151913,3.4017761771624353,0.8325735598839619,9.405770809162707,0.0,0.3110236220472441,0.0,0.0,0.0,0.0,0.0,0.0,6240.613367202473,1.2486511557947833
600,14559.51920377447,600,隋,581,618,169.7474308630242,12636.579295599406,744.9435606662308,968.8369020360271,15.775855440215302,9.283737024221454,3.0686851211072663,0.0,10.0,0.0,1.2837370242214532,0.0,0.0,0.0,0.0,0.0,0.0,14389.771772911428,0.5993750742101132
1500,8910.945867688013,1500,明,1368,1644,172.57586627119787,6890.007306388463,973.184611929755,843.0704139926733,18.237094721291438,1.521556017060807,4.844532279314888,0.0,7.142167247380469,0.0,0.36231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,8738.370001416519,0.979313872264612
-800,2532.133952912,-800,战国燕,-1030,-223,458.2004027261461,1923.3526641883368,29.44315365551425,117.67939900867412,0.6583333333333333,0.75,0.5,0.0,1.425,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,2073.9335501858586,3.4463472570991462
100,12543.455159959663,100,东汉,25,220,1532.0576754959673,9975.256928306379,378.44990971469946,632.9864210906317,10.0,5.234741784037559,2.2347417840375585,0.0,7.234741784037559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11011.397484463823,0.6957104555276262
1000,13059.154171726634,1000,宋,960,1279,324.1187194792855,10878.781636189398,983.0906822380261,832.2663588826839,21.493390785193288,3.963782051282051,8.29978616929048,1.0,5.512856683546339,0.0,0.6269592476489029,0.0,0.0,0.0,0.0,0.0,0.0,12735.03545224707,0.6682372218347193
1900,3710.8955841753614,1900,清,1644,1911,38.29918464870489,2689.919972331038,487.10326818189833,456.3717490717189,21.764400495988006,4.01654535053458,7.48112676056338,1.0,4.939337334870648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.596399526612,2.3516190917468585
-400,14756.8480663677,-400,战国燕,-1030,-223,1470.0641852375784,11858.661635954813,309.8162978987067,1054.1835255951223,14.168307086614174,10.151678408619976,13.29537919602155,1.5768752590136759,23.411480943102916,1.0,0.3937007874015748,0.0,0.0,0.0,0.125,0.0,0.0,13286.783881129417,0.5913602189287762
