X,count,century,centurylabel,dynasty,dynstart,dynend,X1,X2,X3,X4,poly,weight,prediction,model,diff_abs,piotweight,piotweight_original
-1100,1828.42518587361,-1100,-1100–-1000,商,-1600,-1046,405.432620817844,1299.01579925651,22.8954460966543,101.081319702602,1422.99256505576,4.753164919603,8722.66558606455,8722.66558606455,6894.24040019094,1,4.77058927729488
-1000,1848.37561957869,-1000,-1000–-900,战国燕,-1030,-223,406.73373605948,1314.80266418835,24.1098203221809,102.729399008674,1441.64188351921,4.70186165601663,10599.487733822,1876.82214775745,28.4465281787598,1.01539001482028,1.01539001482028
-900,3879.37561957869,-900,-900–-800,战国燕,-1030,-223,797.733736059479,2712.80266418835,53.1098203221809,315.729399008674,3081.64188351921,2.24025907874238,12861.1537929082,2261.6660590862,-1617.70956049249,0.582997441050017,0.582997441050017
-800,2529.17561957867,-800,-800–-700,战国燕,-1030,-223,458.200402726146,1923.60266418834,29.4431536555143,117.929399008674,2070.97521685253,3.43622102962577,15577.7340567688,2716.5802638606,187.40464428193,1.07409712589004,1.07409712589004
-700,2327.57561957872,-700,-700–-600,战国燕,-1030,-223,213.517069392813,2024.25266418838,22.5264869888476,67.2793990086741,2114.0585501859,3.73384494085138,18828.0231017504,3250.2890449816,922.713425402881,1.39642683040729,1.39642683040729
-600,721.375619578692,-600,-600–-500,战国燕,-1030,-223,88.9837360594796,564.052664188351,11.8598203221809,56.4793990086741,632.391883519206,12.047546681282,22698.7689313322,3870.7458295818,3149.37021000311,5.36578409988745,5.36578409988745
-500,7714.5930581246,-500,-500–-400,战国燕,-1030,-223,825.303875477536,6171.92023114565,157.351946306433,560.017005194997,6889.28918264708,1.12654113912857,27282.8757517009,4584.1068203687,-3130.4862377559,0.594212395369443,0.594212395369443
-400,14693.7942721379,-400,-400–-300,战国燕,-1030,-223,1470.06418523758,11859.7302634058,309.816297898707,1054.18352559512,13223.7300868996,0.59146101344922,32676.2311122062,5393.3553605053,-9300.4389116326,0.367049875656152,0.367049875656152
-300,8280.42206202632,-300,-300–-200,战国燕,-1030,-223,855.218431596867,6759.092685719,139.258100106081,526.852844604757,7425.20363042984,1.0495608057793,38972.8206231791,6296.5895109729,-1983.83255105342,0.760418909061267,0.760418909061267
-200,5753.93205933818,-200,-200–-100,汉代,-206,220,441.812613639442,4947.36189461178,105.569459144075,259.188091942793,5312.11944569865,1.51041172575344,46257.8940114564,7285.07338827731,1531.14132893913,1.26610347726546,1.26610347726546
-100,12189.7942652125,-100,-100–0,汉代,-206,220,790.606447936164,10178.104639985,484.068495752938,737.014681538169,11399.1878172761,0.712957598998615,54599.1766691447,8341.28265768829,-3848.51160752421,0.684284121307349,0.684284121307349
0,4551.34217023665,0,0–100,汉代,-206,220,218.895816196768,4032.86750856607,73.9066460419551,225.67219943345,4332.44635404148,1.90950408177312,64036.5098312928,9437.33316214811,4885.99099191145,2.07352750225268,2.07352750225268
100,12524.7509346076,100,100–200,东汉,25,220,1532.05767549597,9981.25692830638,378.449909714699,632.986421090632,10992.6932591117,0.693890560937157,74570.8387117573,10534.3288804645,-1990.4220541431,0.84108090735415,0.84108090735415
200,9535.15780363615,200,200–300,东汉,25,220,198.834423077027,8623.50368746787,221.253899714128,491.565793378352,9336.32338056036,0.911448623146945,86154.0682027023,11583.229490945,2048.07168730885,1.2147915880876,1.2147915880876
