"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
-1100,1828.42518587361,-1100,"-1100–-1000","商",-1600,-1046,405.432620817844,1299.01579925651,22.8954460966543,101.081319702602,1422.99256505576,4.76122756039233,8737.39091245127,0,1
-1000,1848.37561957869,-1000,"-1000–-900","战国燕",-1030,-223,406.73373605948,1314.80266418835,24.1098203221809,102.729399008674,1441.64188351921,4.70983727272988,10615.5844013758,1878.19348892452,1.01613193175131
-900,3879.37561957869,-900,"-900–-800","战国燕",-1030,-223,797.733736059479,2712.80266418835,53.1098203221809,315.729399008674,3081.64188351921,2.24405915816998,12878.5229638419,2262.93856246606,0.583325458624145
-800,2529.17561957867,-800,"-800–-700","战国燕",-1030,-223,458.200402726146,1923.60266418834,29.4431536555143,117.929399008674,2070.97521685253,3.44204978084801,15596.1844586279,2717.66149478608,1.07452462919076
-700,2327.57561957872,-700,"-700–-600","战国燕",-1030,-223,213.517069392813,2024.25266418838,22.5264869888476,67.2793990086741,2114.0585501859,3.74017854194252,18847.2474058478,3251.06294721984,1.39675932325166
-600,721.375619578692,-600,"-600–-500","战国燕",-1030,-223,88.9837360594796,564.052664188351,11.8598203221809,56.4793990086741,632.391883519206,12.0679825472633,22718.3205873126,3871.07318146479,5.36623788828022
-500,7714.5930581246,-500,"-500–-400","战国燕",-1030,-223,825.303875477536,6171.92023114565,157.351946306433,560.017005194997,6889.28918264708,1.12845205463283,27302.1499229046,4583.82933559202,0.594176426553643
-400,14693.7942721379,-400,"-400–-300","战国燕",-1030,-223,1470.06418523758,11859.7302634058,309.816297898707,1054.18352559512,13223.7300868996,0.592464289744698,32694.4550838704,5392.30516096585,0.366978403337976
-300,8280.42206202632,-300,"-300–-200","战国燕",-1030,-223,855.218431596867,6759.092685719,139.258100106081,526.852844604757,7425.20363042984,1.05134114201982,38989.0607824016,6294.60569853116,0.760179330398865
-200,5753.93205933818,-200,"-200–-100","汉代",-206,220,441.812613639442,4947.36189461178,105.569459144075,259.188091942793,5312.11944569865,1.51297378858836,46271.0876666369,7282.02688423532,1.26557401254281
-100,12189.7942652125,-100,"-100–0","汉代",-206,220,790.606447936164,10178.104639985,484.068495752938,737.014681538169,11399.1878172761,0.714166966044779,54608.1967212787,8337.10905464174,0.683941736279696
0,4551.34217023665,0,"0–100","汉代",-206,220,218.895816196768,4032.86750856607,73.9066460419551,225.67219943345,4332.44635404148,1.91274311213658,64040.2675707804,9432.07084950175,2.07237129108474
100,12524.7509346076,100,"100–200","东汉",25,220,1532.05767549597,9981.25692830638,378.449909714699,632.986421090632,10992.6932591117,0.695067585179862,74568.4239038103,10528.1563330299,0.84058807939559
200,9535.15780363615,200,"200–300","东汉",25,220,198.834423077027,8623.50368746788,221.253899714128,491.565793378352,9336.32338056036,0.912994684133817,86144.9160644337,11576.4921606234,1.21408501034024
300,4555.07802570226,300,"300–400","晋",265,420,101.608281665953,4057.93436684174,206.526730743333,189.00864645133,4453.4697440364,1.91117437242027,98665.8598473741,12520.9437829404,2.74878799271722
400,18052.0351596004,400,"400–500","北魏",386,534,358.720019458448,16233.4626768804,590.840061660537,869.012401602161,17693.3151401431,0.48224747570731,111968.971805157,13303.1119577831,0.736931422976333
500,17853.8642989195,500,"500–600","南朝齐",479,502,661.356401432485,16002.9073150965,506.581101362133,683.019481027905,17192.5078974865,0.487600232719577,125838.009321363,13869.0375162054,0.776808722414494
600,14520.1071891647,600,"600–700","隋",581,618,169.747430863024,12636.5792955994,744.943560666231,968.836902036027,14350.3597583017,0.599551248050924,140014.538224014,14176.5289026511,0.976337758252227
700,14031.2911214241,700,"700–800","唐",618,907,258.7740419033,12017.7317602772,1098.28261374825,656.502705495254,13772.5170795207,0.620438155816219,154216.093494601,14201.5552705877,1.01213460313025
800,13105.6860398972,800,"800–900","唐",618,907,252.097600861384,11348.6922907812,912.444149157079,592.451999096996,12853.5884390352,0.664257358263801,168158.220033417,13942.1265388159,1.0638227175878
900,6667.80315932965,900,"900–1000","唐",618,907,154.885051647919,5098.42424041863,869.23426646073,545.259600802309,6512.91810768166,1.30560968569026,181576.842181319,13418.6221479015,2.01245025194333
1000,17319.2573967887,1000,"1000–1100","宋",960,1279,359.118719479286,14700.7816361894,1247.09068223803,1012.26635888268,16960.1386773101,0.502651365913129,194247.320228445,12670.4780471259,0.73158321727323
1100,10158.0152820164,1100,"1100–1200","宋",960,1279,211.082120037971,7947.51405896774,1161.53699017841,837.882112832055,9946.9331619782,0.857012727920291,205997.446141688,11750.125913243,1.15673441976852
1200,9353.04466152997,1200,"1200–1300","金",1115,1234,192.467592931159,6556.81223246111,1402.88741154436,1200.87742459327,9160.57706859874,0.930771604556075,216713.154900251,10715.7087585634,1.14569203359396
1300,10650.5859194016,1300,"1300–1400","元",1234,1367,184.263570969505,7626.71011519144,1493.44183829682,1346.17039494381,10466.3223484321,0.817377415005727,226337.327228037,9624.17232778619,0.90362843890629
1400,2731.3855485042,1400,"1400–1500","明",1368,1644,49.491863505449,2034.05850742116,328.496955130765,319.338222446819,2681.89368499874,3.18722795903506,234863.248582277,8525.92135424016,3.12146388813884
1500,8878.83819858238,1500,"1500–1600","明",1368,1644,172.575866271198,6890.00730638846,973.184611929755,843.070413992673,8706.26233231089,0.980482828089697,242324.835604843,7461.58702256557,0.840378758535875
1600,10163.5632944704,1600,"1600–1700","明",1368,1644,225.421183664915,7928.78784614456,888.990588143148,1120.36367651547,9938.14211080317,0.856544908008119,248785.685874869,6460.85027002657,0.635687512620858
1700,10113.3712895512,1700,"1700–1800","清",1644,1911,174.368960675591,7508.05794646001,1165.78520123238,1265.15918118256,9939.00232887494,0.860795884760126,254328.560107161,5542.87423229101,0.548073839434504
1800,9211.28933180034,1800,"1800–1900","清",1644,1911,135.327340211125,6960.25147314511,862.01066693952,1253.6998515026,9075.96199158723,0.945095531528092,259046.313039898,4717.75293273726,0.512170746439378
1900,4128.69417423341,1900,"1900–2000","清",1644,1911,47.2991846487049,3057.91997233103,530.10326818192,493.371749071718,4081.39498958467,2.1085476472021,263034.736933954,3988.42389405629,0.966025509699284
