"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","poly","weight","prediction","model","piotweight"
-1100,2120.56970260223,-1100,"-1100–-1000","商",-1600,-1046,611.422397769517,1484.00185873606,25.1454460966543,1509.14730483271,5.09980358714069,8877.39646183995,0,1
-1000,2135.31567534077,-1000,"-1000–-900","战国燕",-1030,-223,612.116325898389,1496.8395291202,26.3598203221809,1523.19934944238,5.05275612251745,10925.4269451503,2048.03048331033,1.34455840206345
-900,6354.31567534077,-900,"-900–-800","战国燕",-1030,-223,2577.11632589839,3713.8395291202,63.3598203221809,3777.19934944238,2.03758237961303,13418.8743017934,2493.44735664314,0.660131257570836
-800,3648.9156753407,-800,"-800–-700","战国燕",-1030,-223,806.516325898392,2804.83952912014,37.5598203221809,2842.39934944232,2.70769652414239,16441.0921642288,3022.2178624354,1.06326293067452
-700,4532.46567534024,-700,"-700–-600","战国燕",-1030,-223,558.716325898393,3935.58952911978,38.1598203221809,3973.74934944196,1.93679926988611,20084.4614449442,3643.36928071537,0.91685935883878
-600,790.065675340772,-600,"-600–-500","战国燕",-1030,-223,82.1163258983891,694.589529120202,13.3598203221809,707.949349442383,10.8713354207778,24448.1267776649,4363.6653327207,6.16381007505374
-500,8384.45955957293,-500,"-500–-400","战国燕",-1030,-223,935.742564150865,7275.71513237136,173.001863050711,7448.71699542207,1.03324570438637,29633.8978694853,5185.77109182036,0.696196552373717
-400,18927.4224972564,-400,"-400–-300","战国燕",-1030,-223,1749.50930151303,16803.6829131024,374.230282640677,17177.9131957431,0.448037823396198,35739.8568122895,6105.95894280427,0.355454057383257
-300,9400.43700001625,-300,"-300–-200","战国燕",-1030,-223,722.636125853974,8524.20291967187,153.597954488377,8677.80087416024,0.886901526125922,42851.3917841396,7111.53497185008,0.819508891132314
-200,6413.38611631245,-200,"-200–-100","汉代",-206,220,329.195174902982,5962.6944014762,121.496539933241,6084.19094140945,1.26497588797347,51029.7762752486,8178.38449110898,1.34420246995312
-100,13273.3199634549,-100,"-100–0","汉代",-206,220,593.301147928031,12147.603200449,532.41561507775,12680.0188155268,0.606967146553863,60299.0669723876,9269.29069713898,0.731015531758411
0,6860.78611833619,0,"0–100","汉代",-206,220,169.34599544647,6524.61988353461,166.820239355208,6691.44012288982,1.1501791389244,70632.948881914,10333.8819095264,1.54434347759859
100,17003.8792717442,100,"100–200","东汉",25,220,1364.28884820862,15175.2744972036,464.315926327195,15639.5904235308,0.492107186332061,81944.0125334156,11311.0636515016,0.723232728299801
200,11501.1810965907,200,"200–300","东汉",25,220,100.548805293176,11109.7182155566,290.914075741339,11400.632291298,0.675081402685371,94078.4478133871,12134.4352799714,1.06436511326074
300,3234.87621825785,300,"300–400","晋",265,420,26.1315839836689,3014.39798199645,194.34665227777,3208.74463427422,2.39855635643327,106818.864047808,12740.4162344214,3.97052981353971
400,17786.4354540045,400,"400–500","北魏",386,534,154.205356127516,17004.011013435,628.219084442084,17632.2300978771,0.436493557308796,119896.636998625,13077.7729508163,0.741697044458989
500,16296.5462610756,500,"500–600","南朝齐",479,502,180.118096357227,15547.435388335,568.992776383327,16116.4281647183,0.477547181053321,133012.993876293,13116.3568776685,0.81385011266842
600,11204.8680622731,600,"600–700","隋",581,618,95.7210049798934,10354.5538410082,754.593216284947,11109.1470572932,0.692794397177137,145865.639767315,12852.6458910216,1.15694263697623
700,9581.62552045939,700,"700–800","唐",618,907,67.413448397117,8498.14547889302,1016.06659316929,9514.21207206232,0.808932445526338,158176.049755204,12310.4099878893,1.2938969506511
800,9595.95120073296,800,"800–900","唐",618,907,75.4484610770111,8647.18791705929,873.314822597051,9520.50273965634,0.80839794380306,169712.342320017,11536.292564813,1.21173144741193
900,7638.27143421491,900,"900–1000","唐",618,907,84.105075212276,6504.28031151793,1049.88604748471,7554.16635900263,1.01882252427993,180304.007244216,10591.6649241994,1.40209579996565
1000,12239.3366062128,1000,"1000–1100","宋",960,1279,141.316194548048,11012.4616077361,1085.55880392861,12098.0204116647,0.636166461687311,189847.075615007,9543.06837079008,0.788812387982815
1100,6792.8778612893,1100,"1100–1200","宋",960,1279,64.1906874675777,5657.5509596509,1071.13621417074,6728.68717382165,1.14381225339955,198300.644585179,8453.56897017223,1.25634744962752
1200,7126.19205655996,1200,"1200–1300","金",1115,1234,90.5240445218704,5631.52981405734,1404.1381979806,7035.66801203794,1.09390534424609,205677.236092434,7376.59150725498,1.04845644999646
1300,9323.49084051519,1300,"1300–1400","元",1234,1367,131.036665464832,7687.61906043575,1504.83511461458,9192.45417505033,0.837247017189231,212029.992823994,6352.75673156069,0.691083861892181
1400,2715.42218978696,1400,"1400–1500","明",1368,1644,59.060462168032,2301.1640732697,355.197654349218,2656.36172761892,2.8973293654582,217439.372967983,5409.38014398809,2.03638686996025
1500,8596.67957688587,1500,"1500–1600","明",1368,1644,142.092382457343,7408.9737206297,1045.61347379869,8454.58719442839,0.910317045849561,222001.200317063,4561.82734908018,0.539568312937436
1600,7117.72519504126,1600,"1600–1700","明",1368,1644,55.2444931705973,6235.31678402856,827.163917842144,7062.4807018707,1.0897523354182,225817.045057229,3815.84474016615,0.540298076730379
1700,5630.41959996188,1700,"1700–1800","清",1644,1911,25.8842589658396,4569.71519944126,1034.82014155485,5604.53534099611,1.3732369180389,228987.195623956,3170.15056672695,0.565640213478164
1800,3566.31714198159,1800,"1800–1900","清",1644,1911,14.8137236018003,2832.32460190235,719.178816477409,3551.50341837976,2.16706952860565,231606.019734136,2618.82411017982,0.737384651420259
1900,1417.44507816081,1900,"1900–2000","清",1644,1911,4.12207094073585,996.121578898141,417.201428321919,1413.32300722006,5.44557387051099,233759.283927113,2153.26419297772,1.52354711695601
